T,training_seed,evaluation_seed,method,n,n_design_replicates,design_replicates_per_system,design_replication_note,terminal_eig_mean,terminal_eig_std,ci95_low,ci95_high,seconds,offline_training_or_calibration_seconds,training_time_seconds,online_seconds_per_rollout,n_unique_sequences,eval_seed,timing_scope
3,101,1001,dad_eig,512,512,1,one deterministic design per held-out system,6.853194887648906,0.23067462755404194,6.833213717458491,6.873176057839321,2.6320114081026986,1221.2921703360043,1221.2921703360043,0.005140647281450583,28,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1003,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.852421856002256,0.22720374626976558,6.83274133556421,6.872102376440303,2.3922118439804763,1029.9377594169928,1029.9377594169928,0.004672288757774368,25,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1003,step_dad,512,512,1,one deterministic design per held-out system,6.854938214669257,0.22525124706640892,6.8354268208460125,6.874449608492502,3236.5752697699936,1221.2921703360043,1221.2921703360043,6.321436073769519,108,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1003,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.711186205778084,0.3804487801331519,6.678231511518112,6.744140900038056,3.211309215053916,0.0,0.0,0.00627208831065218,471,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1003,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.284802131717449,0.7001683086270368,6.224153146239693,6.345451117195206,0.1977537169586867,0.0767139419913292,0.0767139419913292,0.000386237728434935,1,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1003,random,512,16384,32,expected performance averaged over randomized designs,3.7655682817439953,1.227787572662469,3.6592166092294356,3.871919954258555,7.126746013062075,0.0,0.0,0.0004349820564613083,12530,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1004,dad_eig,512,512,1,one deterministic design per held-out system,6.836841296995379,0.24212330186209952,6.815868435988208,6.85781415800255,2.685314523987472,1221.2921703360043,1221.2921703360043,0.005244754929663031,31,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1004,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.851371089114602,0.2310952439316946,6.831353484889305,6.8713886933399,2.3870135790202767,1029.9377594169928,1029.9377594169928,0.004662135896523978,25,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1004,step_dad,512,512,1,one deterministic design per held-out system,6.84171288575205,0.2398077204785441,6.82094060174897,6.8624851697551295,3188.215344901895,1221.2921703360043,1221.2921703360043,6.226983095511514,106,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1004,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.705824072733941,0.368571603986556,6.673898186368809,6.737749959099074,3.2040747619466856,0.0,0.0,0.00625795851942712,468,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1004,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.275638783430626,0.6952772752269024,6.21541346210619,6.335864104755062,0.19520526099950075,0.0767139419913292,0.0767139419913292,0.0003812602753896499,1,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1004,random,512,16384,32,expected performance averaged over randomized designs,3.8026217356121226,1.197701933204173,3.6988760986580314,3.906367372566214,7.065545491990633,0.0,0.0,0.00043124667309513143,12511,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1005,dad_eig,512,512,1,one deterministic design per held-out system,6.849638378054777,0.23157109098372963,6.82957955568151,6.869697200428044,2.7511984260054305,1221.2921703360043,1221.2921703360043,0.0053734344257918565,29,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1005,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.85004350733931,0.2334588816720291,6.829821163440391,6.870265851238228,2.4563271689694375,1029.9377594169928,1029.9377594169928,0.004797514001893433,24,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1005,step_dad,512,512,1,one deterministic design per held-out system,6.856056898983884,0.2235741489761257,6.836690776371103,6.875423021596665,3221.2944360580295,1221.2921703360043,1221.2921703360043,6.291590695425839,95,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1005,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.698040804513675,0.3781305477418864,6.665286916889621,6.730794692137729,3.2259299230063334,0.0,0.0,0.006300644380871745,476,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1005,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.283612532845128,0.6953890970681551,6.223377525447868,6.343847540242388,0.19615324202459306,0.0767139419913292,0.0767139419913292,0.0003831118008292833,1,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
